YearsExperience,Education,JobRole,OrgSize,Location,Age,Gender,CompTotal,CompFreq,Currency,LanguageHaveWorkedWith
0.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end","10,000 or more employees",Viet Nam,25-34 years old,Man,20000000.0,Monthly,VND	Vietnamese dong,C#;HTML/CSS;JavaScript;SQL;TypeScript
6.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Engineer, data",100 to 499 employees,Viet Nam,18-24 years old,Man,23000000.0,Monthly,VND	Vietnamese dong,Java;Python;Scala
10.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack;Data scientist or machine learning specialist;Academic researcher",10 to 19 employees,Viet Nam,18-24 years old,Man,800.0,Weekly,USD	United States dollar,Bash/Shell;C;C++;Groovy;HTML/CSS;Java;JavaScript;Kotlin;Node.js;PHP;Python;SQL;Swift
10.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end","5,000 to 9,999 employees",Viet Nam,25-34 years old,Man,27000000.0,Monthly,VND	Vietnamese dong,Assembly;C;HTML/CSS;JavaScript;Python;SQL;VBA
4.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end;Developer, full-stack",20 to 99 employees,Viet Nam,25-34 years old,Man,1800.0,Monthly,USD	United States dollar,JavaScript
4.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",20 to 99 employees,Viet Nam,18-24 years old,Man,14000000.0,Monthly,VND	Vietnamese dong,C;Java;JavaScript;Node.js;Python
13.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, desktop or enterprise applications;Developer, embedded applications or devices",100 to 499 employees,Viet Nam,25-34 years old,Man,1010000000.0,Yearly,VND	Vietnamese dong,C#;C++
10.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end;Developer, full-stack;Developer, back-end",20 to 99 employees,Viet Nam,18-24 years old,Man,26000000.0,Monthly,VND	Vietnamese dong,Assembly;Bash/Shell;C;C#;C++;HTML/CSS;Java;JavaScript;Matlab;Node.js;PHP;PowerShell;Python;R;Ruby;Scala;SQL;TypeScript
4.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, embedded applications or devices",20 to 99 employees,Viet Nam,18-24 years old,Man,20000000.0,Monthly,VND	Vietnamese dong,Assembly;C;C++;Matlab;Python
5.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",10 to 19 employees,Viet Nam,18-24 years old,Man,7745000.0,Monthly,VND	Vietnamese dong,HTML/CSS;Java;Kotlin;Node.js
6.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Data scientist or machine learning specialist,20 to 99 employees,Viet Nam,18-24 years old,Man,10000000.0,Monthly,VND	Vietnamese dong,Python
4.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end;Developer, full-stack;Developer, back-end",20 to 99 employees,Viet Nam,18-24 years old,Man,13000000.0,Monthly,VND	Vietnamese dong,Dart;HTML/CSS;JavaScript;Node.js;TypeScript
3.0,Some college/university study without earning a degree,"Developer, front-end;Developer, full-stack;Developer, back-end",20 to 99 employees,Viet Nam,25-34 years old,Woman,17000000.0,Monthly,VND	Vietnamese dong,JavaScript;Node.js;SQL;TypeScript
10.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, mobile;Developer, embedded applications or devices;Product manager","1,000 to 4,999 employees",Viet Nam,35-44 years old,Man,47000000.0,Monthly,VND	Vietnamese dong,C;C++;Java
4.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end;Developer, full-stack;Developer, back-end;Student",10 to 19 employees,Viet Nam,25-34 years old,Man,20000000.0,Monthly,VND	Vietnamese dong,C#;HTML/CSS;Java;JavaScript;SQL;TypeScript
7.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end;Data or business analyst;System administrator","10,000 or more employees",Viet Nam,25-34 years old,Man,18000000.0,Monthly,VND	Vietnamese dong,C#;HTML/CSS;JavaScript;Node.js;PHP;SQL;TypeScript
8.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile;Developer, full-stack;Engineer, data;Developer, back-end",20 to 99 employees,Viet Nam,25-34 years old,Man,40000000.0,Monthly,VND	Vietnamese dong,Bash/Shell;Go;HTML/CSS;JavaScript;Node.js;Objective-C;PHP;Python;SQL;Swift;TypeScript
15.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile;Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end;Product manager",10 to 19 employees,Viet Nam,25-34 years old,Man,54000000.0,Monthly,VND	Vietnamese dong,C#;HTML/CSS;Java;JavaScript;Node.js;PowerShell;Python;SQL
7.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end","1,000 to 4,999 employees",Viet Nam,25-34 years old,Man,20.0,Monthly,VND	Vietnamese dong,C#;HTML/CSS;JavaScript;Node.js;SQL;TypeScript
5.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end",100 to 499 employees,Viet Nam,25-34 years old,Man,25000000.0,Monthly,VND	Vietnamese dong,HTML/CSS;JavaScript;TypeScript
2.0,Some college/university study without earning a degree,"Developer, back-end",20 to 99 employees,Viet Nam,25-34 years old,Man,35000000.0,Monthly,VND	Vietnamese dong,C++;Go;JavaScript;Node.js;PHP;Python;Rust;SQL
1.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Student;DevOps specialist",20 to 99 employees,Viet Nam,18-24 years old,Man,5000000.0,Monthly,VND	Vietnamese dong,HTML/CSS;JavaScript;Node.js;PHP;SQL
0.0,Some college/university study without earning a degree,"Developer, front-end",100 to 499 employees,Viet Nam,18-24 years old,Man,7000000.0,Monthly,VND	Vietnamese dong,HTML/CSS;JavaScript;TypeScript
4.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end",500 to 999 employees,Viet Nam,25-34 years old,Man,51000000.0,Monthly,VND	Vietnamese dong,HTML/CSS;JavaScript;Node.js;TypeScript
6.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile",20 to 99 employees,Viet Nam,25-34 years old,Man,27000000.0,Monthly,VND	Vietnamese dong,Dart;Go;Kotlin
8.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, desktop or enterprise applications;Developer, full-stack",100 to 499 employees,Viet Nam,25-34 years old,Man,410000000.0,Yearly,VND	Vietnamese dong,C#;F#;JavaScript;Node.js;SQL;TypeScript
13.0,"Associate degree (A.A., A.S., etc.)","Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end",20 to 99 employees,Viet Nam,35-44 years old,Man,25000000.0,Monthly,VND	Vietnamese dong,C#;Delphi;Go;HTML/CSS;PHP
10.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",20 to 99 employees,Viet Nam,25-34 years old,Man,20000000.0,Monthly,VND	Vietnamese dong,C;C#;C++;HTML/CSS;Java;JavaScript;Node.js
4.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Academic researcher;Scientist;Student;Developer, QA or test",100 to 499 employees,Viet Nam,25-34 years old,Man,32000000.0,Monthly,VND	Vietnamese dong,Java;SQL
3.0,"Associate degree (A.A., A.S., etc.)","Developer, full-stack",20 to 99 employees,Viet Nam,18-24 years old,Man,10000000.0,Monthly,VND	Vietnamese dong,Bash/Shell;C#;C++;HTML/CSS;JavaScript;Node.js;PowerShell;SQL;TypeScript
5.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile;Developer, front-end;Developer, game or graphics",100 to 499 employees,Viet Nam,25-34 years old,Man,20000000.0,Monthly,VND	Vietnamese dong,JavaScript;Node.js;TypeScript
13.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile",100 to 499 employees,Viet Nam,25-34 years old,Man,1500.0,Monthly,USD	United States dollar,C;C++;Objective-C;Swift
20.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, mobile;Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end;Database administrator;Data or business analyst;System administrator;Product manager",20 to 99 employees,Viet Nam,35-44 years old,Man,45000000.0,Monthly,VND	Vietnamese dong,C#;HTML/CSS;JavaScript;Node.js;PHP;SQL
5.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end;Developer, back-end","1,000 to 4,999 employees",Viet Nam,18-24 years old,Man,9000000.0,Monthly,VND	Vietnamese dong,C;C#;C++;HTML/CSS;JavaScript;Node.js;R;SQL;Swift
7.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile",100 to 499 employees,Viet Nam,25-34 years old,Man,24000000.0,Monthly,VND	Vietnamese dong,Dart;Swift
8.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",20 to 99 employees,Viet Nam,25-34 years old,Man,1400.0,Monthly,USD	United States dollar,Bash/Shell;Java;JavaScript;Node.js;PHP;SQL;TypeScript
6.0,Some college/university study without earning a degree,"Developer, mobile",100 to 499 employees,Viet Nam,18-24 years old,Man,570.0,Monthly,USD	United States dollar,Java
7.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack;Engineering manager","5,000 to 9,999 employees",Viet Nam,25-34 years old,Man,1500000000.0,Yearly,VND	Vietnamese dong,Bash/Shell;HTML/CSS;JavaScript;Node.js;PowerShell;Python;SQL
4.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile;Developer, front-end;Developer, full-stack;Developer, back-end","1,000 to 4,999 employees",Viet Nam,25-34 years old,Man,30000000.0,Monthly,VND	Vietnamese dong,HTML/CSS;Java;JavaScript
